questions,answers
asking about the fertilizer dose of beeter gourd,"suggested to apply 11 kg urea, 29 kg ssp, 3kg mop and 2 quintol compost. urea is suggested to apply in 3 splt doses: one at the time of land preperation, 2nd in 30 days and the rest in 60 days."
asking about the recommended fertilizer dose of wheat,"suggested that the recommended fertilizer dose for wheat is-urea@12kilogram/bigha,ssp@18kilogram/bigha,mop@4kilogram/bigha."
asking about the control measure to control fruit rot disease of chilli,suggested to apply bavistin@2gram/liter of water at 7-10 days interval.
asking about the control measure to control fruit borer infestation in mango fruit,suggested to spray dimecron 100 ec@2ml/liter of water followed by waiting period of 10-12 days.
asking about the recommended fertilizer dose for  bitter gourd,"suggested to apply urea@11kilogram/bigha,ssp@29 kilogram/bigha,mop@3 kilogram/bigha and fym@2 quintal/bigha."
asking the control measure against late blight of potato,suggested to spray indofil m 45 @ 2.5 gram per litre of water and ridomil mz 72 @ 2 gram per litre of water alternatively at an interval of 10-12 days. also suggested that while spraying care should be taken so that the lower part of the leaves  also gets wettened.
asking about the control measure to control fruit drop problem in coconut,"suggested to apply recommended fertilizer dose like-urea@1,5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant.fertilizer should be applied in two equal split doses twice in a year in trench method."
asking about the control measure to control wilting problem of tomato,suggested to applly agromycin@200 milligram/liter of water or  spray solution of 1gram asafoetida + 5 gram turmeric mixture/10 liters of water.
asking about the control measure to control fruit drop problem of coconut,"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also to apply planofix@1tsf/20 liters of water.fertilizer should be apply in two equal split doses twice in a year to a trench of 30 cm width and 10 cm depth at a radius of 1-1.75m away from the main trunk."
asking about the seed ratebigha of cucumber,suggested that seed rate of cucumber/bigha is 330 gram.
asking about the market pricequintal for  tomato in his district,suggested that the market price for tomato up to 29/01/10 is-600rs/quintal(min) and 800 rs/quintal(max).
asking about the control measure to control bacterial wilt disease of tomato,suggested to apply streptomycin sulphate@200mg/liter of water.
asking the control measure against black spot disease in cabbage,suggested to spray streptomycin @ 2 gram per litre of water to get control on this disease.
asking about the measurement required in preparation of vermicompost in tank,"suggested that tanks with dimension of 1.5 meter width,4.5 meter length and 0.9 meter height is preferred."
asking about treatment of white diarrhoea of poultry,suggested him to separate the diseased bird.suggested him to administer tetracycline powder @5gm with 5ltr of water with feed 2 times in a day.
asking about the control measure to control fruit borer pest infestation in tomato,"suggested to spray  neem based pesticide like-neem gold,achok@1.5 ml/liter of water."
asking about treatment of wound in a cow,suggested to clean the wound with betadine and then spray skin heal spray on the affected area twice daily.
asking about treatment of bloat of a goat,suggested him to administer afanil 100ml@50ml orally and rest b50ml after 6hours.along with that administer steclin 500mg bolus @1/2 bolus twice daily.administer bovirum bolus @1/2 bolus twice daily.
asking about the preventive measure against fruit borer of mango,"suggested to follow clean cultivation, brush the trunk with lime, spray the field with .1% malathion 35ec."
asking about the control measure to control fruit rot disease of chiili,suggested to apply dithane m-45@2.5 gram/liter of water.
asking about financial assitstance for dairy farming,suggested to contact with nearest sbi branch for loans& finances.
asking about the variety of rajma,suggested that the variety is-uday.
asking for the preservation method of potato tubers to be sown after 78 months,"suggested mr. borbhuyan to dip the selected tubers (to be sown) in a solution of 30 gram boric acid and 1 litre of water for 30 minutes. after that the tubers are to be thinly spread in shade. also suggested to examine the tuber seeds and to separate and throw away the rotten ones and whenever such cases are observed, advised to spary malathion 5 percent dust powder with the help of a sprayer for which 200 gram of malathion 5 percent dust powder is sufficient for 1 quintal of potato tubers."
asking about the age of castration in goat,the age of castration is 2-3 months in goat.
asking that how to increase the production of coconut,"suggested to apply recommended fertlizer dose like-urea@1.5kilogram/plant,ssp@2.5kilogram/plant,mop@1.75kilogram/plant,borax@25gram/plant.fertlizer should be applied in two equal split doses twice in a year to a trench of 30cm breadth,15cm depth at a radius of 1-1.75 meter away from the trunk."
asked about the fertilizer dose of okra,"suggested to apply 14 kg urea, 41 kg ssp, 11kg mop and 2 q fym per bigha."
asking about the control measure to control fruit rot problem of cucumber,suggested to apply dithane m-45@2.5gram/liter of water.
asking about treatment of wound in calf,suggested to clean the wound with normal saline and then spray topicure spray on the affected area twice daily.
asked about the fertilizer dose of bhendi,"suggested to apply 14 kg urea, 41 kg ssp, 11 kg mop and 200 kg fym per bigha."
asked about the information regarding the training of mashroom cultivation,"suggested to contact sird, khanapara, assam at phone no 0361 2335154, 2331663"
asking about source of good breed ducklings for duck farming,"suggested to contact with s.i.r.d. khanapara,guwahati-22 for good breed ducklings."
asking about the control measure to control cut worm infestation in cucumber,suggested to spray neem based pesticide like-neem gold/neemax@5ml/liter of water.
asking about the fertilizer dose of bitter gourd,"suggested mr das to apply urea-11 kg,super-29 kg,potash- 3 kg and compost-2 quintal/bigha as the recomended dose of fertilizers for bitter gourd."
asking about treatment of maggoted wound in cow,suggested to clean the area and spray topicure spray on the affected area twice daily.
asking about treatment of anoestrus in cow,suggested to administer prajana capsule @3 capsule on first day and 3 capsule on second day and repeat the same dose on eleventh day and twelve day.along with that inject tonophosfen inj @10 ml at alternate day for five times.
asking about treatment of worm infestation of a cow,suggested him to administer panacur 1.5gm bolus @1 bolus.repeat the same dose after 15 days.
asking about some hybrid variety of maize,"suggested to grow hybrid variety like-ganga-5,hi-starch."
asking about the control measure to control fruit borer pest in ridge gourd,suggested to spray neem based pesticide like-achook/neem gold@5ml/liter of water.
asking about treatment of diarrhoea in buffalo,suggested to administer neblon powder @50 gm twice daily for five days.change the feed for 10 days and observe.
asking about treatment of wound in cow,suggested to keep the wound clean and then spray scavon spray on the affected area twice daily.
asking what control measure should be taken to control flower drop in coocnut plant,"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also advised to spray planofix@1tsf/15 liters of water at the time of flowering.fertilizer should be applied in two equal split doses twice in a year in trench method."
asking about the control measure to control stored grain pest infestation in store house of paddy,suggested to spray 5% malathion dust.
telling that his chilli fruits are suffering from rotting problemwhat is the reamedy measure,suggested to apply mancozeb@2.5 gram/liter of water.
asking about the controlling measure for ganderma disease of coconut,suggested mr paul to spray captan @2ml/litre of water and to apply 7kg neemcake and 1.5-2.0kg sulphur /tree.
asking about the proper spacing for brinjal cultivation,suggested that spacing is-74cm.(row to row)x 60cm. (plant to plant).
asking about the sowing season of black gram,mid august to mid september is the best sowing time for black gram
asking about treatment after deworming of a cow,suggested him to administer feroliv @1cup twice daily.
asking about the control measure to control rice caseworm infestation in sali rice cultivation,suggested first to drain-off the excess water from the field to kill the floating larvae and to spray ekalux 25ec@2ml/liter of water.
asking about the control measure to control powdery mildew disease in okra,suggested to apply sulfex@1 teaspoonful/liter of water.
the farmer has got 1kg rice seed from gram panchayat officila in free of cost he is asking about the variety of the said seed,suggested to conferm the variety from concern agricultural development officer or village level extension worker of state department of agriculture.
asking about sowing time for early variety cauliflower,suggested that early sowing time is-mid july to first week of august.
asking about the control measure to control brinjal fruit borer pest in brinjal cultivation,suggested to spray azadirachtin product like-neem gold/neemax-m@2ml/liter of water.
asking about the control measure to control leaf curling problem in chilli,suggested to spray rogor 40ec@2.5ml/liter of water at 15 days interval.
asking about treatment of mastitis of a cow,suggested him to administer m-ceft inj i/mly.along with that administer ketop inj @3ml i/mly for 5 days.
asking about vaccination schedule of broiler  chicks,"0-5days=f1ranikhet,10-15days=i.b.d.vaccine,20-21days=booster dose ranikhet."
asking for the control measure to control leaf eating caterpillar in lemon,advised to spray 3 numbers of sprays of dimacron @ 4 milli litre per litre of water at an interval of 7 days.
asking about financial assistance for dairy farming,suggested to contact with nearest s.b.i.branch for loans &finances.
asking about treatment of caugh of a goat,"suggested him to administer caflon powder @10gm twice daily for 5 days,"
asking about the control measure for fruit borer of bottle gourd,suggested mr ghosh to spray malathion 50 ec @2ml/litre of water as the controlling measure for fruit borer of bottle gourd.
asking about some variety name of chilli,"suggested to grow variety like-np-46,pusa jwala,suryamukhi,tejaswinee."
asked about the control measure of fruit and stem borer of okra,suggested to spray the crop with malathion 50 ec @ 2 ml per lit of water.
asking for the control measure to control rice case worm which is affecting his paddy cultivation very badly,suggested to spray chlorpyriphos 20 ec @ 2 milli litre per litre of water.
asking about some early cabbage varieties,"suggested to grow early variety like-golden acre,pride of india,pusa mukta etc."
asking about the control measure to control anthracnose disease in chilli,suggested to apply mancozeb@2.5gram/liter of water.
asked about the control measure of root rot of bottle gourd,suggested to follow pre sowing seed treatment with captan 50 wp @ 5 gm per kg of seed.
asking about some early variety name of cabbage,"suggested to grow early variety like-golden acre,pusa mukta,pride of india."
asking about the planting time of betel vine,april to august
asking about the fertilizer management of potato,"suggested mr koiri to apply urea-19 kg,super-45kg,potash-12 kg and compost 2 quintal as per bigha."
asking about bloat of a calf,suggested him to administer floaratone bolus @1 bolus daily for3 days.
asking about the control measure of fruit and shoot borer,suggested to spay malathion 50 ec @ 1.5 ml/liter water.
asking for the control measure against fruit borers in cucumber,advised to spray malathion 50ec @ 2 milli litre per litre of water followed by a waiting period of 10 days.
asking that is there are any govt schemes or subsidy if he goes for purchasing of knap sack sprayer,advised mr. guwala to coordinate with the district agriculture officer of his district.
asking about the control measure to control fruit rot problem in cucumber,suggested to spray dithane m-45@2gram/liter of water followed by waiting period for 5-7 days.
telling that he has been asked for bribe by agricultural development officer and the vlew of his locality when he approached them for sanctioning of kisan credit card loan,"advised mr. barman to lodge a complain against them in written to the concerned district agricultural officer, department of agriculture, govt. of assam. the farmer also suggested to approach nearest nationalised bank for kisan credit card loan."
asking about treatment of bloat of a cow,suggested him to administer floaratone bolus @2bolus twice daily for 3 days.
asking about the control measure of shoot and fruit borer,suggested to apply trichoderma card as biological control agent or spray malathion 50 ec @ 1.5ml/liter water.
asking about poultry farming,"suggested him how to establish a poultry farming-chick selection,housing,vaccination,treatment,marketing etc."
asking about treatment of white diarrhoea of a poultry,suggested him to administer tetracycline powder @4gm in 4 ltr of water 2-3 times daily.
asking for the control measure against fruit borers in brinjal,suggested to spray decis 2.4ec @ 1 milli litre per litre of water.
asking about some varity name of tomato,"suggested to grow variety like-punjam chhuhara,pusa early dwarf,pusa rubi,arka alok."
asking about the controlling measure for rice hispa,suggested mr gokh to spray monocrotophos 40ec@4ml/litre of water for controlling rice hispa.
asking about the control measure to control rice case worm pest in paddy field,suggested to spray tricel 20ec@2mililiter/liter of water.
asking the fertilizer dose of knol khol to be cultivated in a land of 1 bigha along with the planting distance,"23, 41, 13 and 200 kilo grams of urea, ssp, mop and farm yard manure respectively have been suggested for 1 bigha of land for knol khol cultivation. planting distance suggested is 30 centimetre from row to row and 25 centimetre from plant to plant."
asking about the controlling measure for fruit borer of brinjal,suggested to spray malathion 50 ec@2ml/litre of water for controlling fruit borer of brinjal.
asking about the control measure to control termite infestation in root portion of brinjal,suggested to apply furadon 3g@10gram/plant near the base around the root.
asking for the control meausure against aphids in black gram cultivation,rogor 40ec solution @ 75 milli litre in 60 litres of water for per bigha of land has been suggested to be sparyed for such pests.
asking about treatment of eye infection in cow,suggested to give ciplx eye drop @5 drops twice daily for five days.
asking about the control measure to control leaf curl disease in chilli,suggested to spray rogor 40ec@2mililiter/liter of water followed by waiting period for 5-7 days.
asking about the varieties of chilli,"suggested mr kairi to cultivate np-46,pusa jwala,suryamukhi,krisna and other local varieties to  cultivate as the varieties of chilli."
asking about the source of paddy harvester in subsidized rate,"suggseted to contact ado, dept. of agriculture, govt. of assam"
asking about the control measure to control aphid infestation in brinjal,suggested to apply furadon@10gram/plant in ring method near the root portion.
asking about some local variety name of potato,"suggested to grow local variety like-rongpuriya,lalpahari,badami."
asking for the control measure against aphids in spinach,advised to spray profex @ 1.5 milli litre per litre of water and waiting period suggested is 10 days.
asking about treatment of diarhoea in cow,suggested to administer 3d care bolus @2 bolus twice daily for five days.
asking about how to increase milk of a cow,suggested him to administer intacal 100ml daily.along with that administer agrimin forte @40gm twice daily.
asking about treatment of bloat in cow,suggested to administer afanil 100 ml at a time and repeat the same dose after 6 hours.
asking for the control measure against brinjal fruit  shoot borers,decis 2.4ec solution @ 1 milli litre in 1 litre of water has been suggested to spray.
asking about the control measure of fruit borer of brinjal,suggested mr mahsir to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.
asking about treatment of humpsore in cow,suggested to apply himax ont.over the affected area twice daily.
asking about the recommended fertilizer dose for cabbage,"suggested about the recommended fertilizer dose like-urea@25 kilogram/bigha,ssp@41 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha. half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting"
asking about some variety name of cauliflower,"suggested to grow variety like-improved japanese,pusa synthetic,pusa deepali,pusa katki,pusa snow ball,himani etc"
asking about broiler farming,"describe him where broiler chicks are available,how to establish a broiler farm-including housing,vaccination,treatment,management,marketing etc."
asking about the control measure to control immature fruit drop problem in coconut at the age of 5 years,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk."
asking about the control measure to control immature fruit drop problem in coconut,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk"
asked about the control measure of fungal wilt of brinjal,suggested to drench the soil with captan @ 3gm per liter of water.
asking about the control measure to control late blight disease in potato,suggested to apply dithane m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval
asking about treatment of general weakness of a cow,"as already deworming is done ,suggested him to administer live 52 vet @1cup twice daily for 1 month.administer agrimin forte @40gm twice daily.also administer intacal @100ml daily."
asking about fertilizer dose for tomato,"suggested about the fertilizer dose like-urea@22kilogram/bigha,ssp@50 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha."
asking about the control measure to control fruit rot in chilli,suggested to spray mancozeb@2gram/liter of water.
asking about the financial assistance for dairy farming,suggested to contact with nearest s.b.i branch for loans & finances.
asking about the control measure to control fruit rot disease in french bean,suggested to spray bavistin@2gram/liter of water.
asking for the control measure against rhinoceros beetle in coconut trees,advised to apply malathion 5% dust mixed with equal quantity of sand at the axil of the leaves at the crown as a control measure against rhinoceros beetle in coconut trees.
asking about treatment of cough of a cow,suggested him to administer caflon powder @25 gm daily for 5 days.
asking  that how to avail kisan credit card facility,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asked about the control measure of root rot of brinjal,suggested to drench the soil with captaf @ 2gm per liter of water and to go for seed treatment before sowing.
asking about financia assistance for broiler farming,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.

suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.

suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asking about the control measure to control flower drop problem in coconut at the age of 3 years,"suggested to apply recommended fertilizer like-urea@900 gram/plant,ssp@1.5 kilogram/plant,mop@1050 gram/plant,borax@25gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk."
asking about the control measure to control fruit rot in bottle gourd,suggested to apply carbendazim@2gram/liter of water.
asking for the manures and fertilizers dose in terms of per bigha of land for spine gourd cultivation,"14, 33, 11 and 300 kilo grams of urea, single super phosphate, muriate of potash and farm yard manure respectively has been suggested in terms of per bigha of land for spine gourd cultivation. half doses of urea and full doses of the others suggested should be applied as basal and the remaining half of urea to be top dressed at vining."
asked where to avail training on intensive fish cultivation,"giving suggestion to contact nearby krishi vighyan kendra, district fishery office,college of fisheries,and frc,assam."
asked about the contol measure of leaf curl of chilli,suggested to destroy the infected plants.also suggested to spray rogor @ 2ml per liter of water to control the insect vector.
asking for the control measure against late blight disease in potato crop cultivation,advised to go for spraying  of  indofil m-45 solution @ 2.5 gram in 1 litre of water alternatively with ridomil mz-72 solution @ 2 gram in 1 litre of water for 3 times at an interval of 7 days.
asking about the control measure of var and sowing time of bitter gourd,"suggested var. of bitter gourd are long green,extra long and pusa and mousmi for spring season.for summer season monsoon monarch and long green monsoon,coimbatore long.and sowing time are october to november for early,for mid february to march and for late june to july."
asking about the control measure of root rot in bhindi and duration of maize,"suggested spray captan @ 2gm/lt of water or to drench the soil around the root portion. duration of maize for hybrid var.are ganga 101=145-150 days,ganga 5=150-155 days,deccan hybrid=160-165 days."
asking about the control measure of late blight in potato,suggested to spray copper oxychloride @ 2.0-2.5 gm/lt of water .do not used diseased tuber for planting.
asked about the fertilizer dose of bhindi,"suggested to apply urea 14kg, 41kg ssp, 11 kg mop and 2 quintal fym per bigha."
asking about the control measure to control fruit borer pest in brinjal,suggested to spray malathion 50 ec@2 mililitre/litre of water.
asked what types of plant suitable for aquarium construction,"suggested him to plant like ludwigia,elodes,vallisnaria,maryophyllum etc..."
asking about the control measure to control damping off disease in cabbage seedlings,suggested to spray captan@2gram/litre of water.
asking for the control measure against field crickets and cut worms in potato crop cultivation,suggested to apply malathion 5% dust @ 6 kilo grams per bigha of land.
asking about the age of castration in case of goat,the proper age of castration is 2-3 month of age.
asking about the govt assistance for irrigation,"suggested to approach concerned ado, department of agriculture, assam govt. of his locality"
asking about the control measure of downy mildew of chilli,suggested mr nath to apply dithane m-45@2gm/litre of water for controlling downy mildew of chilli.
asking about the control measure of anthracnose disease in chilli,suggested to apply mancozeb@ 2 gram/litre of water.
asking for the control measure against fungal wilt in brinjal,suggested to drench the soil at and around the base of the plant with captan 50 wp solution @ 3 gram in 1 litre of water as the control measure against fungal wilt in brinjal.
asking about the control measure of downey mildew of cucumber,suggested mr dey to spray dithane z-78@2ml/litre of water for controlling downey mildew of cucumber.
asking about the control measure to control leaf blast disease in boro rice,suggested to apply bavistin@2gram/litre of water.
asking about the control measure to control leaf blast disease  in boro rice,advised him to apply carbendazim@ 2 gram/litre of water.
